Datum;Uhrzeit;Bezeichnung;Intervall;VD21Z;VD21B;V22Z;V22B;V51Z;V51B;V52Z;V52B;VD81Z;VD81B;VD82Z;VD82B;V83Z;V83B;V111Z;V111B;V112Z;V112B;TF32Z;TF32B;TBS32Z;TBS32B;TF35Z;TF35B;TBS35Z;TBS35B;TF38Z;TF38B;TBS38Z;TBS38B;TF41Z;TF41B;TBS41Z;TBS41B
15.02.2025;23:03;A 59;1;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
15.02.2025;23:02;A 59;1;0;0;0;0;4;30;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;14
15.02.2025;23:01;A 59;1;1;40;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
15.02.2025;23:00;A 59;1;2;35;2;14;0;0;2;39;0;0;2;23;3;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0
15.02.2025;22:59;A 59;1;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0
15.02.2025;22:58;A 59;1;0;0;0;0;0;0;0;0;0;0;0;0;1;14;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
15.02.2025;22:57;A 59;1;1;1;1;10;1;10;0;0;0;0;0;2;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;1;1
15.02.2025;22:56;A 59;1;0;0;0;0;0;0;1;21;0;0;2;11;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.02.2025;22:55;A 59;1;0;6;0;0;0;0;0;0;0;0;0;0;1;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;14;0;0
15.02.2025;22:54;A 59;1;1;62;1;18;0;0;0;0;0;0;1;5;1;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;0;0
15.02.2025;22:53;A 59;1;0;0;0;0;0;0;0;0;0;0;2;12;1;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
15.02.2025;22:52;A 59;1;1;4;0;0;0;0;0;1;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.02.2025;22:51;A 59;1;0;3;0;0;1;12;2;44;0;0;1;16;1;61;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;4;17;1;1
15.02.2025;22:50;A 59;1;1;19;2;5;2;30;0;0;0;0;1;5;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10
15.02.2025;22:49;A 59;1;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
15.02.2025;22:48;A 59;1;0;0;0;0;0;0;1;58;0;0;1;8;4;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0
15.02.2025;22:47;A 59;1;1;5;1;33;0;0;2;26;0;0;2;8;1;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.02.2025;22:46;A 59;1;0;0;0;0;0;0;0;0;0;0;1;10;3;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0
15.02.2025;22:45;A 59;1;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0
15.02.2025;22:44;A 59;1;0;0;0;0;0;0;0;0;0;0;0;0;1;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0
15.02.2025;22:43;A 59;1;1;31;0;9;1;7;0;0;0;0;0;0;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
15.02.2025;22:42;A 59;1;0;0;1;2;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
15.02.2025;22:41;A 59;1;1;26;1;13;0;0;1;0;0;0;0;0;2;25;0;0;0;0;1;1;0;0;0;0;0;0;1;2;0;0;1;1;0;0
15.02.2025;22:40;A 59;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
15.02.2025;22:39;A 59;1;0;0;0;0;1;10;0;0;0;0;0;0;1;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;1;1
15.02.2025;22:38;A 59;1;0;0;0;0;0;0;1;1;1;49;0;0;1;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;0;0
15.02.2025;22:37;A 59;1;0;0;0;0;0;0;0;0;0;0;1;3;1;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7;0;0
15.02.2025;22:36;A 59;1;0;0;0;0;1;4;0;0;0;0;1;2;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0
15.02.2025;22:35;A 59;1;0;0;0;0;2;21;2;36;0;0;1;11;2;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;8
15.02.2025;22:34;A 59;1;1;6;2;16;0;0;0;0;0;0;0;0;2;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;2
