Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;V81Z;V81B;V82Z;V82B;D11Z;D11B;D12Z;D12B;TF32Z;TF32B;TB32Z;TB32B;TF33Z;TF33B;TB33Z;TB33B;ST51Z;ST51B;ST55Z;ST55B;LUe_AbFV2_A8Z;LUe_AbFV2_A8B
06.05.2024;23:11;A 80;1;0;0;6;5;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:10;A 80;1;0;0;3;3;0;0;2;7;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:09;A 80;1;0;0;12;12;0;0;4;21;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:08;A 80;1;0;0;7;7;0;0;5;36;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:07;A 80;1;0;0;5;5;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:06;A 80;1;0;0;3;3;0;0;1;13;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:05;A 80;1;0;0;2;2;0;0;4;13;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:04;A 80;1;0;0;4;3;0;0;2;5;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:03;A 80;1;0;0;3;3;0;0;2;26;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:02;A 80;1;0;0;4;3;0;0;2;7;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:01;A 80;1;0;0;0;0;0;0;0;28;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;23:00;A 80;1;0;0;1;2;0;0;3;23;0;0;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0
06.05.2024;22:59;A 80;1;0;0;4;5;0;0;2;8;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;22:58;A 80;1;0;0;3;2;0;0;4;24;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;22:57;A 80;1;0;0;4;5;0;0;2;6;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2024;22:56;A 80;1;0;0;0;0;0;0;2;23;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
