Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V81Z;V81B;T32Z;T32B;TB32Z;TB32B;V51Z;V51B;ST55Z;ST55B;TB33Z;TB33B;VK1_3StoerZ;VK1_3StoerB
11.10.2024;22:04;A 39;1;;;0;0;5;21;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:03;A 39;1;;;2;10;1;4;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:02;A 39;1;;;1;2;4;5;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:01;A 39;1;;;5;17;6;28;0;0;0;0;0;0;0;0;0;0
11.10.2024;22:00;A 39;1;;;0;19;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:59;A 39;1;;;1;11;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:58;A 39;1;;;1;7;3;14;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:57;A 39;1;;;0;0;4;22;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:56;A 39;1;;;3;14;2;16;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:55;A 39;1;;;1;5;1;31;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:54;A 39;1;;;4;41;1;2;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:53;A 39;1;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:52;A 39;1;;;1;23;2;24;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:51;A 39;1;;;1;6;2;5;1;10;0;0;0;0;0;0;0;0
11.10.2024;21:50;A 39;1;;;4;13;3;7;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:49;A 39;1;;;1;6;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:48;A 39;1;;;2;8;3;11;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:47;A 39;1;;;2;14;2;4;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:46;A 39;1;;;2;7;2;2;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:45;A 39;1;;;4;26;1;5;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:44;A 39;1;;;1;5;1;3;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:43;A 39;1;;;3;31;1;5;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:42;A 39;1;;;0;0;4;7;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:41;A 39;1;;;2;31;1;6;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:40;A 39;1;;;0;0;3;21;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:39;A 39;1;;;1;12;3;13;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:38;A 39;1;;;0;0;4;13;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:37;A 39;1;;;4;21;1;1;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:36;A 39;1;;;3;10;3;10;1;10;0;0;0;0;0;0;0;0
11.10.2024;21:35;A 39;1;;;3;19;1;4;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:34;A 39;1;;;2;20;4;32;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:33;A 39;1;;;0;0;3;15;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:32;A 39;1;;;1;13;4;5;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:31;A 39;1;;;0;0;4;6;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:30;A 39;1;;;2;15;8;28;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:29;A 39;1;;;0;0;2;2;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:28;A 39;1;;;2;23;2;11;0;0;0;0;0;0;0;0;0;0
11.10.2024;21:27;A 39;1;;;0;1;4;26;0;0;0;0;0;0;0;0;0;0
